ID,class,content
1,9,我很容易迷惑。
2,1,我不想成为一个喜欢批评别人的人，但很难做到。
3,5,我喜欢研究宇宙的道理、哲理。
4,7,我很注意自己是否年轻，因为那是找乐子的本钱。
5,8,我喜欢独立自主，一切都靠自己。
6,2,当我有困难时，我会试着不让人知道。
7,4,被人误解对我而言是一件十分痛苦的事。
8,2,施比受会给我更大的满足感。
9,6,我常常设想最糟的结果而使自己陷入苦恼中。
10,6,我常常试探或考验朋友、伴侣的忠诚。
11,8,我看不起那些不像我一样坚强的人，有时我会用种种方式羞辱他们。
12,9,身体上的舒适对我非常重要。
13,4,我能触碰生活中的悲伤和不幸。
14,1,别人不能完成他（她）的分内事，会令我失望和愤怒。
15,9,我时常拖延问题，不去解决。
16,7,我喜欢戏剧性、多彩多姿的生活。
17,4,我认为自己的性格非常的不完善。
18,7,我对感官的需求特别强烈，喜欢美食、服装、身体的触觉刺激，并纵情享乐。
19,5,当别人请教我一些问题，我会巨细无遗地给他（她）分析得很清楚。
20,3,我习惯推销自己，从不觉得难为情。
21,7,有时我会放纵和做出超越本分的事。
22,2,帮助不到别人会让我觉得痛苦。
23,5,我不喜欢人家问我广泛、笼统的问题。
24,8,在某方面我有放纵的倾向（例如暴饮暴食等）。
25,9,我宁愿适应别人（包括我的伴侣），也不会反抗他们。
26,6,我最不喜欢人性的虚伪。
27,8,我知错能改，但由于执著好强，周围的人还是会感觉到来自我的压力。
28,7,我常觉得很多事情都很好玩，很有趣，人生真是快乐。
29,6,我有时很欣赏自己充满权威，有时却又优柔寡断，依赖别人。
30,2,我习惯付出多于接受。
31,6,面对威胁时，我一边变得焦虑，一边对抗迎面而来的危险。
32,5,我通常是等别人来接近我，而不是我去接近他们。
33,3,我喜欢当主角，希望得到大家的注意。
34,9,别人批评我，我也不会回应和辩解，因为我不想与对方发生任何争执与冲突。
35,6,我有时期待别人的指导，有时却忽略别人的忠告径直去做我想做的事。
36,9,我经常忘记自己的需要。
37,6,在重大危机面前，我通常能克服我对自己的质疑和内心的焦虑。
38,3,我是一个天生的推销员，说服别人对我来说是一件轻而易举的事。
39,9,我不会相信一个我一直都无法了解的人。
40,8,我喜欢依惯例行事，不大喜欢改变。
41,9,我很在乎家人，在家中常表现得忠诚和包容。
42,5,我为人处世常会被动且优柔寡断。
43,5,我很有包容心，彬彬有礼，但跟人的感情交往不深。
44,5,我沉默寡言，好像不会关心别人似的。
45,6,当沉浸在工作或我擅长的领域时，别人会觉得我冷酷无情。
46,6,我常常保持警觉。
47,5,我不喜欢要对人尽义务的感觉。
48,5,如果不能完美地表现，我宁愿不说。
49,7,我的计划比我实际完成的还要多。
50,8,我野心勃勃，喜欢挑战和登上高峰的体验。
51,5,我倾向于独断专行并自己解决问题。
52,4,我很多时候有被遗弃的感觉。
53,4,我常常表现出十分忧郁的样子，充满痛苦而且内向。
54,4,初见陌生人时，我会表现得很冷漠、很高傲。
55,1,我的面部表情严肃而生硬。
56,4,我的情绪飘忽不定，常常不知自己下一刻想要做什么。
57,1,我常对自己挑剔，期望不断改善自己的缺点以成为一个完美的人。
58,4,我对生活的感受特别深刻，并怀疑那些总是很快乐的人。
59,3,我做事有效率，也会找捷径，模仿力特强。
60,1,我讲理，重实用。
61,4,我有很强的创造天分和想象力，喜欢将事情重新整合。
62,9,我不要求得到很多的注意力。
63,1,我喜欢每件事都井然有序，但别人会认为我过分执著。
64,4,我渴望拥有完美的心灵伴侣。
65,3,我常夸耀自己，对自己的能力十分有信心。
66,8,如果周遭的人行为太过分时，我准会让他（她）难堪。
67,3,我性格外向、精力充沛，喜欢不断追求成就，这使我的自我感觉良好。
68,6,我是一位忠实的朋友和伙伴。
69,2,我知道如何让别人喜欢我。
70,3,我很少看到别人的功劳和长处。
71,2,我很容易看到别人的功劳和长处。
72,3,我嫉妒心强，喜欢跟别人比较。
73,1,我对别人做的事总是不放心，批评一番后，自己会动手再做。
74,3,别人会说我常戴着面具做人。
75,6,有时我会激怒伴侣，招致莫名其妙的吵架，其实是想试探伴侣爱不爱我。
76,8,我会极力保护我所爱的人。
77,3,我常常刻意保持兴奋的情绪。
78,7,我只喜欢与有趣的人为友，对一些乏味的人却懒得交往，即使他们看起来很有深度。
79,2,我常往外跑，四处帮助别人。
80,3,有时我会讲求效率而牺牲完美和原则。
81,1,我似乎不太懂得幽默，性格缺少弹性。
82,2,我待人热情而有耐性。
83,5,在人群中我时常感到害羞和不安。
84,8,我讲求效率，讨厌拖泥带水。
85,2,帮助别人达到快乐和成功是我最看重的成就。
86,2,我付出时，别人若不欣然接纳，我便会有挫折感。
87,1,我的肢体硬邦邦的，不习惯别人热情地付出。
88,5,我对大部分的社交、聚会不太感兴趣，除非那是我熟识或喜爱的人。
89,2,很多时候我会有强烈的寂寞感。
90,2,人们很乐意向我表白他们所遭遇的问题。
91,1,我不但不会说甜言蜜语，而且别人还会觉得我唠叨不停。
92,7,我常担心自由被剥夺，因此不爱作承诺。
93,3,我喜欢告诉别人自己所做的事和所知的一切。
94,9,我很容易认同别人为我所做的事和所知的一切。
95,8,我要求光明正大，为此不惜与人发生冲突。
96,8,我很有正义感，有时会支持不利的一方。
97,1,我因注重小节而效率不高。
98,9,我容易感到沮丧和麻木更多于愤怒。
